x,y





































































































0.010000,-2.861353
0.020000,-2.430677
0.030000,-2.178747
0.040000,-2.000000
0.050000,-1.861353
0.060000,-1.748070
0.070000,-1.652291
0.080000,-1.569323
0.090000,-1.496141
0.100000,-1.430677
0.110000,-1.371457
0.120000,-1.317394
0.130000,-1.267661
0.140000,-1.221615
0.150000,-1.178747
0.160000,-1.138647
0.170000,-1.100979
0.180000,-1.065464
0.190000,-1.031870
0.200000,-1.000000
0.210000,-0.969685
0.220000,-0.940780
0.230000,-0.913161
0.240000,-0.886717
0.250000,-0.861353
0.260000,-0.836984
0.270000,-0.813535
0.280000,-0.790938
0.290000,-0.769135
0.300000,-0.748070
0.310000,-0.727697
0.320000,-0.707970
0.330000,-0.688851
0.340000,-0.670302
0.350000,-0.652291
0.360000,-0.634788
0.370000,-0.617764
0.380000,-0.601194
0.390000,-0.585054
0.400000,-0.569323
0.410000,-0.553981
0.420000,-0.539008
0.430000,-0.524388
0.440000,-0.510104
0.450000,-0.496141
0.460000,-0.482485
0.470000,-0.469122
0.480000,-0.456041
0.490000,-0.443229
0.500000,-0.430677
0.510000,-0.418373
0.520000,-0.406307
0.530000,-0.394472
0.540000,-0.382858
0.550000,-0.371457
0.560000,-0.360262
0.570000,-0.349264
0.580000,-0.338458
0.590000,-0.327837
0.600000,-0.317394
0.610000,-0.307124
0.620000,-0.297020
0.630000,-0.287079
0.640000,-0.277294
0.650000,-0.267661
0.660000,-0.258174
0.670000,-0.248831
0.680000,-0.239626
0.690000,-0.230555
0.700000,-0.221615
0.710000,-0.212801
0.720000,-0.204111
0.730000,-0.195541
0.740000,-0.187087
0.750000,-0.178747
0.760000,-0.170517
0.770000,-0.162395
0.780000,-0.154378
0.790000,-0.146463
0.800000,-0.138647
0.810000,-0.130928
0.820000,-0.123305
0.830000,-0.115773
0.840000,-0.108332
0.850000,-0.100979
0.860000,-0.093712
0.870000,-0.086528
0.880000,-0.079427
0.890000,-0.072407
0.900000,-0.065464
0.910000,-0.058599
0.920000,-0.051808
0.930000,-0.045091
0.940000,-0.038445
0.950000,-0.031870
0.960000,-0.025364
0.970000,-0.018925
0.980000,-0.012553
0.990000,-0.006245
1.000000,0.000000
