x,y
-1.000000,-1.188395
-0.990000,-1.196135
-0.980000,-1.204098
-0.970000,-1.212289
-0.960000,-1.220716
-0.950000,-1.229384
-0.940000,-1.238301
-0.930000,-1.247474
-0.920000,-1.256911
-0.910000,-1.266618
-0.900000,-1.276606
-0.890000,-1.286883
-0.880000,-1.297456
-0.870000,-1.308337
-0.860000,-1.319535
-0.850000,-1.331061
-0.840000,-1.342925
-0.830000,-1.355140
-0.820000,-1.367716
-0.810000,-1.380668
-0.800000,-1.394008
-0.790000,-1.407750
-0.780000,-1.421910
-0.770000,-1.436503
-0.760000,-1.451544
-0.750000,-1.467053
-0.740000,-1.483046
-0.730000,-1.499544
-0.720000,-1.516565
-0.710000,-1.534134
-0.700000,-1.552270
-0.690000,-1.571000
-0.680000,-1.590348
-0.670000,-1.610342
-0.660000,-1.631011
-0.650000,-1.652383
-0.640000,-1.674494
-0.630000,-1.697376
-0.620000,-1.721066
-0.610000,-1.745605
-0.600000,-1.771032
-0.590000,-1.797394
-0.580000,-1.824738
-0.570000,-1.853115
-0.560000,-1.882579
-0.550000,-1.913190
-0.540000,-1.945011
-0.530000,-1.978109
-0.520000,-2.012558
-0.510000,-2.048436
-0.500000,-2.085830
-0.490000,-2.124830
-0.480000,-2.165537
-0.470000,-2.208060
-0.460000,-2.252516
-0.450000,-2.299033
-0.440000,-2.347752
-0.430000,-2.398825
-0.420000,-2.452420
-0.410000,-2.508722
-0.400000,-2.567933
-0.390000,-2.630275
-0.380000,-2.695996
-0.370000,-2.765369
-0.360000,-2.838698
-0.350000,-2.916321
-0.340000,-2.998617
-0.330000,-3.086010
-0.320000,-3.178977
-0.310000,-3.278058
-0.300000,-3.383863
-0.290000,-3.497088
-0.280000,-3.618526
-0.270000,-3.749089
-0.260000,-3.889831
-0.250000,-4.041973
-0.240000,-4.206937
-0.230000,-4.386397
-0.220000,-4.582329
-0.210000,-4.797086
-0.200000,-5.033490
-0.190000,-5.294958
-0.180000,-5.585669
-0.170000,-5.910782
-0.160000,-6.276747
-0.150000,-6.691732
-0.140000,-7.166244
-0.130000,-7.714017
-0.120000,-8.353367
-0.110000,-9.109268





















0.110000,9.109268
0.120000,8.353367
0.130000,7.714017
0.140000,7.166244
0.150000,6.691732
0.160000,6.276747
0.170000,5.910782
0.180000,5.585669
0.190000,5.294958
0.200000,5.033490
0.210000,4.797086
0.220000,4.582329
0.230000,4.386397
0.240000,4.206937
0.250000,4.041973
0.260000,3.889831
0.270000,3.749089
0.280000,3.618526
0.290000,3.497088
0.300000,3.383863
0.310000,3.278058
0.320000,3.178977
0.330000,3.086010
0.340000,2.998617
0.350000,2.916321
0.360000,2.838698
0.370000,2.765369
0.380000,2.695996
0.390000,2.630275
0.400000,2.567933
0.410000,2.508722
0.420000,2.452420
0.430000,2.398825
0.440000,2.347752
0.450000,2.299033
0.460000,2.252516
0.470000,2.208060
0.480000,2.165537
0.490000,2.124830
0.500000,2.085830
0.510000,2.048436
0.520000,2.012558
0.530000,1.978109
0.540000,1.945011
0.550000,1.913190
0.560000,1.882579
0.570000,1.853115
0.580000,1.824738
0.590000,1.797394
0.600000,1.771032
0.610000,1.745605
0.620000,1.721066
0.630000,1.697376
0.640000,1.674494
0.650000,1.652383
0.660000,1.631011
0.670000,1.610342
0.680000,1.590348
0.690000,1.571000
0.700000,1.552270
0.710000,1.534134
0.720000,1.516565
0.730000,1.499544
0.740000,1.483046
0.750000,1.467053
0.760000,1.451544
0.770000,1.436503
0.780000,1.421910
0.790000,1.407750
0.800000,1.394008
0.810000,1.380668
0.820000,1.367716
0.830000,1.355140
0.840000,1.342925
0.850000,1.331061
0.860000,1.319535
0.870000,1.308337
0.880000,1.297456
0.890000,1.286883
0.900000,1.276606
0.910000,1.266618
0.920000,1.256911
0.930000,1.247474
0.940000,1.238301
0.950000,1.229384
0.960000,1.220716
0.970000,1.212289
0.980000,1.204098
0.990000,1.196135
1.000000,1.188395
