x,y
-10.000000,-1.542351
-9.990000,-1.576670
-9.980000,-1.612088
-9.970000,-1.648668
-9.960000,-1.686473
-9.950000,-1.725576
-9.940000,-1.766052
-9.930000,-1.807983
-9.920000,-1.851459
-9.910000,-1.896575
-9.900000,-1.943435
-9.890000,-1.992153
-9.880000,-2.042851
-9.870000,-2.095664
-9.860000,-2.150738
-9.850000,-2.208233
-9.840000,-2.268325
-9.830000,-2.331207
-9.820000,-2.397090
-9.810000,-2.466210
-9.800000,-2.538825
-9.790000,-2.615223
-9.780000,-2.695725
-9.770000,-2.780688
-9.760000,-2.870511
-9.750000,-2.965643
-9.740000,-3.066590
-9.730000,-3.173925
-9.720000,-3.288297
-9.710000,-3.410447
-9.700000,-3.541223
-9.690000,-3.681601
-9.680000,-3.832711
-9.670000,-3.995867
-9.660000,-4.172604
-9.650000,-4.364734
-9.640000,-4.574401
-9.630000,-4.804171
-9.620000,-5.057133
-9.610000,-5.337043
-9.600000,-5.648517
-9.590000,-5.997287
-9.580000,-6.390560
-9.570000,-6.837532
-9.560000,-7.350115
-9.550000,-7.944030
-9.540000,-8.640454
-9.530000,-9.468613




















-9.320000,9.509040
-9.310000,8.674181
-9.300000,7.972600
-9.290000,7.374630
-9.280000,6.858802
-9.270000,6.409193
-9.260000,6.013747
-9.250000,5.663167
-9.240000,5.350168
-9.230000,5.068960
-9.220000,4.814887
-9.210000,4.584157
-9.200000,4.373655
-9.190000,4.180795
-9.180000,4.003415
-9.170000,3.839691
-9.160000,3.688075
-9.150000,3.547245
-9.140000,3.416065
-9.130000,3.293551
-9.120000,3.178850
-9.110000,3.071217
-9.100000,2.969998
-9.090000,2.874619
-9.080000,2.784570
-9.070000,2.699401
-9.060000,2.618709
-9.050000,2.542135
-9.040000,2.469358
-9.030000,2.400089
-9.020000,2.334067
-9.010000,2.271057
-9.000000,2.210845
-8.990000,2.153239
-8.980000,2.098061
-8.970000,2.045150
-8.960000,1.994361
-8.950000,1.945558
-8.940000,1.898618
-8.930000,1.853427
-8.920000,1.809880
-8.910000,1.767882
-8.900000,1.727344
-8.890000,1.688182
-8.880000,1.650320
-8.870000,1.613688
-8.860000,1.578219
-8.850000,1.543853
-8.840000,1.510531
-8.830000,1.478201
-8.820000,1.446813
-8.810000,1.416321
-8.800000,1.386680
-8.790000,1.357850
-8.780000,1.329793
-8.770000,1.302472
-8.760000,1.275853
-8.750000,1.249905
-8.740000,1.224598
-8.730000,1.199903
-8.720000,1.175794
-8.710000,1.152245
-8.700000,1.129233
-8.690000,1.106735
-8.680000,1.084729
-8.670000,1.063195
-8.660000,1.042115
-8.650000,1.021469
-8.640000,1.001241
-8.630000,0.981414
-8.620000,0.961973
-8.610000,0.942902
-8.600000,0.924187
-8.590000,0.905815
-8.580000,0.887773
-8.570000,0.870048
-8.560000,0.852629
-8.550000,0.835505
-8.540000,0.818664
-8.530000,0.802097
-8.520000,0.785794
-8.510000,0.769745
-8.500000,0.753941
-8.490000,0.738373
-8.480000,0.723034
-8.470000,0.707915
-8.460000,0.693009
-8.450000,0.678308
-8.440000,0.663804
-8.430000,0.649492
-8.420000,0.635365
-8.410000,0.621417
-8.400000,0.607640
-8.390000,0.594030
-8.380000,0.580581
-8.370000,0.567287
-8.360000,0.554143
-8.350000,0.541144
-8.340000,0.528285
-8.330000,0.515560
-8.320000,0.502967
-8.310000,0.490500
-8.300000,0.478154
-8.290000,0.465926
-8.280000,0.453811
-8.270000,0.441805
-8.260000,0.429906
-8.250000,0.418108
-8.240000,0.406408
-8.230000,0.394803
-8.220000,0.383290
-8.210000,0.371864
-8.200000,0.360523
-8.190000,0.349263
-8.180000,0.338082
-8.170000,0.326976
-8.160000,0.315943
-8.150000,0.304979
-8.140000,0.294082
-8.130000,0.283249
-8.120000,0.272476
-8.110000,0.261763
-8.100000,0.251105
-8.090000,0.240501
-8.080000,0.229948
-8.070000,0.219442
-8.060000,0.208984
-8.050000,0.198568
-8.040000,0.188194
-8.030000,0.177859
-8.020000,0.167561
-8.010000,0.157297
-8.000000,0.147065
-7.990000,0.136863
-7.980000,0.126690
-7.970000,0.116542
-7.960000,0.106418
-7.950000,0.096314
-7.940000,0.086231
-7.930000,0.076166
-7.920000,0.066115
-7.910000,0.056077
-7.900000,0.046051
-7.890000,0.036034
-7.880000,0.026025
-7.870000,0.016019
-7.860000,0.006017
-7.850000,-0.003975
-7.840000,-0.013986
-7.830000,-0.023985
-7.820000,-0.033996
-7.810000,-0.044011
-7.800000,-0.054035
-7.790000,-0.064069
-7.780000,-0.074117
-7.770000,-0.084180
-7.760000,-0.094260
-7.750000,-0.104359
-7.740000,-0.114478
-7.730000,-0.124621
-7.720000,-0.134789
-7.710000,-0.144985
-7.700000,-0.155210
-7.690000,-0.165468
-7.680000,-0.175759
-7.670000,-0.186086
-7.660000,-0.196452
-7.650000,-0.206858
-7.640000,-0.217308
-7.630000,-0.227804
-7.620000,-0.238347
-7.610000,-0.248941
-7.600000,-0.259588
-7.590000,-0.270290
-7.580000,-0.281050
-7.570000,-0.291870
-7.560000,-0.302754
-7.550000,-0.313704
-7.540000,-0.324724
-7.530000,-0.335814
-7.520000,-0.346980
-7.510000,-0.358223
-7.500000,-0.369547
-7.490000,-0.380956
-7.480000,-0.392451
-7.470000,-0.404037
-7.460000,-0.415717
-7.450000,-0.427495
-7.440000,-0.439373
-7.430000,-0.451357
-7.420000,-0.463449
-7.410000,-0.475654
-7.400000,-0.487975
-7.390000,-0.500418
-7.380000,-0.512985
-7.370000,-0.525682
-7.360000,-0.538513
-7.350000,-0.551484
-7.340000,-0.564598
-7.330000,-0.577861
-7.320000,-0.591278
-7.310000,-0.604855
-7.300000,-0.618597
-7.290000,-0.632510
-7.280000,-0.646600
-7.270000,-0.660874
-7.260000,-0.675338
-7.250000,-0.689998
-7.240000,-0.704862
-7.230000,-0.719937
-7.220000,-0.735231
-7.210000,-0.750751
-7.200000,-0.766506
-7.190000,-0.782505
-7.180000,-0.798756
-7.170000,-0.815268
-7.160000,-0.832052
-7.150000,-0.849118
-7.140000,-0.866476
-7.130000,-0.884137
-7.120000,-0.902114
-7.110000,-0.920418
-7.100000,-0.939061
-7.090000,-0.958059
-7.080000,-0.977424
-7.070000,-0.997171
-7.060000,-1.017316
-7.050000,-1.037875
-7.040000,-1.058866
-7.030000,-1.080305
-7.020000,-1.102213
-7.010000,-1.124610
-7.000000,-1.147516
-6.990000,-1.170953
-6.980000,-1.194946
-6.970000,-1.219520
-6.960000,-1.244700
-6.950000,-1.270515
-6.940000,-1.296994
-6.930000,-1.324169
-6.920000,-1.352074
-6.910000,-1.380744
-6.900000,-1.410216
-6.890000,-1.440532
-6.880000,-1.471734
-6.870000,-1.503868
-6.860000,-1.536983
-6.850000,-1.571132
-6.840000,-1.606371
-6.830000,-1.642762
-6.820000,-1.680367
-6.810000,-1.719258
-6.800000,-1.759510
-6.790000,-1.801204
-6.780000,-1.844427
-6.770000,-1.889275
-6.760000,-1.935850
-6.750000,-1.984264
-6.740000,-2.034639
-6.730000,-2.087105
-6.720000,-2.141809
-6.710000,-2.198907
-6.700000,-2.258573
-6.690000,-2.320997
-6.680000,-2.386387
-6.670000,-2.454974
-6.660000,-2.527014
-6.650000,-2.602790
-6.640000,-2.682615
-6.630000,-2.766842
-6.620000,-2.855862
-6.610000,-2.950116
-6.600000,-3.050101
-6.590000,-3.156377
-6.580000,-3.269581
-6.570000,-3.390438
-6.560000,-3.519779
-6.550000,-3.658556
-6.540000,-3.807875
-6.530000,-3.969015
-6.520000,-4.143476
-6.510000,-4.333020
-6.500000,-4.539735
-6.490000,-4.766111
-6.480000,-5.015147
-6.470000,-5.290481
