x,y
-10.000000,-1.838753
-9.990000,-1.852932
-9.980000,-1.868568
-9.970000,-1.885712
-9.960000,-1.904418
-9.950000,-1.924746
-9.940000,-1.946763
-9.930000,-1.970541
-9.920000,-1.996160
-9.910000,-2.023707
-9.900000,-2.053278
-9.890000,-2.084978
-9.880000,-2.118921
-9.870000,-2.155235
-9.860000,-2.194057
-9.850000,-2.235542
-9.840000,-2.279857
-9.830000,-2.327190
-9.820000,-2.377746
-9.810000,-2.431752
-9.800000,-2.489464
-9.790000,-2.551161
-9.780000,-2.617160
-9.770000,-2.687812
-9.760000,-2.763510
-9.750000,-2.844700
-9.740000,-2.931882
-9.730000,-3.025624
-9.720000,-3.126570
-9.710000,-3.235457
-9.700000,-3.353129
-9.690000,-3.480558
-9.680000,-3.618869
-9.670000,-3.769372
-9.660000,-3.933599
-9.650000,-4.113358
-9.640000,-4.310790
-9.630000,-4.528456
-9.620000,-4.769442
-9.610000,-5.037502
-9.600000,-5.337248
-9.590000,-5.674407
-9.580000,-6.056186
-9.570000,-6.491776
-9.560000,-6.993088
-9.550000,-7.575838
-9.540000,-8.261200
-9.530000,-9.078400





















-9.310000,9.284493
-9.300000,8.592145
-9.290000,8.003356
-9.280000,7.496656
-9.270000,7.056127
-9.260000,6.669711
-9.250000,6.328114
-9.240000,6.024052
-9.230000,5.751738
-9.220000,5.506515
-9.210000,5.284594
-9.200000,5.082861
-9.190000,4.898730
-9.180000,4.730042
-9.170000,4.574973
-9.160000,4.431978
-9.150000,4.299735
-9.140000,4.177109
-9.130000,4.063118
-9.120000,3.956909
-9.110000,3.857740
-9.100000,3.764957
-9.090000,3.677987
-9.080000,3.596321
-9.070000,3.519511
-9.060000,3.447154
-9.050000,3.378893
-9.040000,3.314409
-9.030000,3.253411
-9.020000,3.195642
-9.010000,3.140867
-9.000000,3.088874
-8.990000,3.039469
-8.980000,2.992478
-8.970000,2.947742
-8.960000,2.905113
-8.950000,2.864459
-8.940000,2.825657
-8.930000,2.788594
-8.920000,2.753167
-8.910000,2.719281
-8.900000,2.686847
-8.890000,2.655784
-8.880000,2.626017
-8.870000,2.597475
-8.860000,2.570094
-8.850000,2.543814
-8.840000,2.518577
-8.830000,2.494332
-8.820000,2.471030
-8.810000,2.448625
-8.800000,2.427076
-8.790000,2.406340
-8.780000,2.386383
-8.770000,2.367167
-8.760000,2.348661
-8.750000,2.330834
-8.740000,2.313656
-8.730000,2.297101
-8.720000,2.281142
-8.710000,2.265755
-8.700000,2.250917
-8.690000,2.236607
-8.680000,2.222805
-8.670000,2.209491
-8.660000,2.196647
-8.650000,2.184255
-8.640000,2.172300
-8.630000,2.160767
-8.620000,2.149639
-8.610000,2.138905
-8.600000,2.128550
-8.590000,2.118562
-8.580000,2.108929
-8.570000,2.099640
-8.560000,2.090685
-8.550000,2.082053
-8.540000,2.073735
-8.530000,2.065721
-8.520000,2.058004
-8.510000,2.050574
-8.500000,2.043423
-8.490000,2.036546
-8.480000,2.029933
-8.470000,2.023579
-8.460000,2.017477
-8.450000,2.011622
-8.440000,2.006007
-8.430000,2.000626
-8.420000,1.995475
-8.410000,1.990549
-8.400000,1.985843
-8.390000,1.981352
-8.380000,1.977072
-8.370000,1.973000
-8.360000,1.969131
-8.350000,1.965461
-8.340000,1.961989
-8.330000,1.958709
-8.320000,1.955620
-8.310000,1.952718
-8.300000,1.950001
-8.290000,1.947465
-8.280000,1.945110
-8.270000,1.942932
-8.260000,1.940930
-8.250000,1.939101
-8.240000,1.937445
-8.230000,1.935958
-8.220000,1.934641
-8.210000,1.933490
-8.200000,1.932506
-8.190000,1.931687
-8.180000,1.931032
-8.170000,1.930541
-8.160000,1.930212
-8.150000,1.930045
-8.140000,1.930039
-8.130000,1.930194
-8.120000,1.930511
-8.110000,1.930987
-8.100000,1.931625
-8.090000,1.932423
-8.080000,1.933382
-8.070000,1.934502
-8.060000,1.935784
-8.050000,1.937228
-8.040000,1.938835
-8.030000,1.940605
-8.020000,1.942540
-8.010000,1.944640
-8.000000,1.946907
-7.990000,1.949342
-7.980000,1.951945
-7.970000,1.954719
-7.960000,1.957665
-7.950000,1.960785
-7.940000,1.964080
-7.930000,1.967553
