x,y





































































































0.010000,-4.605170
0.020000,-3.912023
0.030000,-3.506558
0.040000,-3.218876
0.050000,-2.995732
0.060000,-2.813411
0.070000,-2.659260
0.080000,-2.525729
0.090000,-2.407946
0.100000,-2.302585
0.110000,-2.207275
0.120000,-2.120264
0.130000,-2.040221
0.140000,-1.966113
0.150000,-1.897120
0.160000,-1.832582
0.170000,-1.771957
0.180000,-1.714798
0.190000,-1.660731
0.200000,-1.609438
0.210000,-1.560648
0.220000,-1.514128
0.230000,-1.469676
0.240000,-1.427116
0.250000,-1.386294
0.260000,-1.347074
0.270000,-1.309333
0.280000,-1.272966
0.290000,-1.237874
0.300000,-1.203973
0.310000,-1.171183
0.320000,-1.139434
0.330000,-1.108663
0.340000,-1.078810
0.350000,-1.049822
0.360000,-1.021651
0.370000,-0.994252
0.380000,-0.967584
0.390000,-0.941609
0.400000,-0.916291
0.410000,-0.891598
0.420000,-0.867501
0.430000,-0.843970
0.440000,-0.820981
0.450000,-0.798508
0.460000,-0.776529
0.470000,-0.755023
0.480000,-0.733969
0.490000,-0.713350
0.500000,-0.693147
0.510000,-0.673345
0.520000,-0.653927
0.530000,-0.634878
0.540000,-0.616186
0.550000,-0.597837
0.560000,-0.579819
0.570000,-0.562119
0.580000,-0.544727
0.590000,-0.527633
0.600000,-0.510826
0.610000,-0.494296
0.620000,-0.478036
0.630000,-0.462035
0.640000,-0.446287
0.650000,-0.430783
0.660000,-0.415515
0.670000,-0.400478
0.680000,-0.385663
0.690000,-0.371064
0.700000,-0.356675
0.710000,-0.342490
0.720000,-0.328504
0.730000,-0.314711
0.740000,-0.301105
0.750000,-0.287682
0.760000,-0.274437
0.770000,-0.261365
0.780000,-0.248461
0.790000,-0.235722
0.800000,-0.223144
0.810000,-0.210721
0.820000,-0.198451
0.830000,-0.186330
0.840000,-0.174353
0.850000,-0.162519
0.860000,-0.150823
0.870000,-0.139262
0.880000,-0.127833
0.890000,-0.116534
0.900000,-0.105361
0.910000,-0.094311
0.920000,-0.083382
0.930000,-0.072571
0.940000,-0.061875
0.950000,-0.051293
0.960000,-0.040822
0.970000,-0.030459
0.980000,-0.020203
0.990000,-0.010050
1.000000,0.000000
