x,y
-10.000000,-1.191794
-9.990000,-1.184175
-9.980000,-1.176770
-9.970000,-1.169574
-9.960000,-1.162581
-9.950000,-1.155785
-9.940000,-1.149183
-9.930000,-1.142770
-9.920000,-1.136540
-9.910000,-1.130491
-9.900000,-1.124618
-9.890000,-1.118916
-9.880000,-1.113383
-9.870000,-1.108015
-9.860000,-1.102808
-9.850000,-1.097759
-9.840000,-1.092864
-9.830000,-1.088122
-9.820000,-1.083528
-9.810000,-1.079080
-9.800000,-1.074776
-9.790000,-1.070613
-9.780000,-1.066588
-9.770000,-1.062699
-9.760000,-1.058944
-9.750000,-1.055320
-9.740000,-1.051826
-9.730000,-1.048460
-9.720000,-1.045219
-9.710000,-1.042102
-9.700000,-1.039107
-9.690000,-1.036233
-9.680000,-1.033477
-9.670000,-1.030839
-9.660000,-1.028317
-9.650000,-1.025910
-9.640000,-1.023616
-9.630000,-1.021434
-9.620000,-1.019363
-9.610000,-1.017402
-9.600000,-1.015550
-9.590000,-1.013806
-9.580000,-1.012169
-9.570000,-1.010638
-9.560000,-1.009213
-9.550000,-1.007892
-9.540000,-1.006675
-9.530000,-1.005562
-9.520000,-1.004551
-9.510000,-1.003642
-9.500000,-1.002836
-9.490000,-1.002131
-9.480000,-1.001527
-9.470000,-1.001023
-9.460000,-1.000621
-9.450000,-1.000318
-9.440000,-1.000116
-9.430000,-1.000014
-9.420000,-1.000011
-9.410000,-1.000109
-9.400000,-1.000307
-9.390000,-1.000605
-9.380000,-1.001003
-9.370000,-1.001502
-9.360000,-1.002102
-9.350000,-1.002802
-9.340000,-1.003604
-9.330000,-1.004508
-9.320000,-1.005514
-9.310000,-1.006623
-9.300000,-1.007836
-9.290000,-1.009152
-9.280000,-1.010573
-9.270000,-1.012099
-9.260000,-1.013731
-9.250000,-1.015471
-9.240000,-1.017318
-9.230000,-1.019274
-9.220000,-1.021340
-9.210000,-1.023517
-9.200000,-1.025806
-9.190000,-1.028208
-9.180000,-1.030725
-9.170000,-1.033358
-9.160000,-1.036108
-9.150000,-1.038977
-9.140000,-1.041966
-9.130000,-1.045078
-9.120000,-1.048313
-9.110000,-1.051674
-9.100000,-1.055162
-9.090000,-1.058780
-9.080000,-1.062529
-9.070000,-1.066412
-9.060000,-1.070431
-9.050000,-1.074588
-9.040000,-1.078886
-9.030000,-1.083327
-9.020000,-1.087915
-9.010000,-1.092650
-9.000000,-1.097538
-8.990000,-1.102580
-8.980000,-1.107780
-8.970000,-1.113141
-8.960000,-1.118667
-8.950000,-1.124361
-8.940000,-1.130227
-8.930000,-1.136268
-8.920000,-1.142489
-8.910000,-1.148894
-8.900000,-1.155488
-8.890000,-1.162275
-8.880000,-1.169259
-8.870000,-1.176447
-8.860000,-1.183842
-8.850000,-1.191451
-8.840000,-1.199279
-8.830000,-1.207332
-8.820000,-1.215616
-8.810000,-1.224138
-8.800000,-1.232904
-8.790000,-1.241922
-8.780000,-1.251199
-8.770000,-1.260743
-8.760000,-1.270561
-8.750000,-1.280663
-8.740000,-1.291056
-8.730000,-1.301751
-8.720000,-1.312757
-8.710000,-1.324085
-8.700000,-1.335744
-8.690000,-1.347746
-8.680000,-1.360103
-8.670000,-1.372827
-8.660000,-1.385932
-8.650000,-1.399431
-8.640000,-1.413337
-8.630000,-1.427667
-8.620000,-1.442437
-8.610000,-1.457662
-8.600000,-1.473362
-8.590000,-1.489553
-8.580000,-1.506257
-8.570000,-1.523494
-8.560000,-1.541285
-8.550000,-1.559655
-8.540000,-1.578628
-8.530000,-1.598230
-8.520000,-1.618489
-8.510000,-1.639434
-8.500000,-1.661097
-8.490000,-1.683510
-8.480000,-1.706709
-8.470000,-1.730733
-8.460000,-1.755620
-8.450000,-1.781414
-8.440000,-1.808161
-8.430000,-1.835910
-8.420000,-1.864713
-8.410000,-1.894626
-8.400000,-1.925711
-8.390000,-1.958032
-8.380000,-1.991659
-8.370000,-2.026667
-8.360000,-2.063139
-8.350000,-2.101160
-8.340000,-2.140828
-8.330000,-2.182244
-8.320000,-2.225522
-8.310000,-2.270782
-8.300000,-2.318159
-8.290000,-2.367796
-8.280000,-2.419852
-8.270000,-2.474503
-8.260000,-2.531937
-8.250000,-2.592366
-8.240000,-2.656023
-8.230000,-2.723164
-8.220000,-2.794074
-8.210000,-2.869070
-8.200000,-2.948506
-8.190000,-3.032778
-8.180000,-3.122330
-8.170000,-3.217663
-8.160000,-3.319344
-8.150000,-3.428014
-8.140000,-3.544408
-8.130000,-3.669363
-8.120000,-3.803844
-8.110000,-3.948968
-8.100000,-4.106032
-8.090000,-4.276552
-8.080000,-4.462315
-8.070000,-4.665436
-8.060000,-4.888443
-8.050000,-5.134380
-8.040000,-5.406942
-8.030000,-5.710668
-8.020000,-6.051189
-8.010000,-6.435579
