x,y
-1.000000,-1.557408
-0.990000,-1.523677
-0.980000,-1.490958
-0.970000,-1.459201
-0.960000,-1.428358
-0.950000,-1.398383
-0.940000,-1.369235
-0.930000,-1.340874
-0.920000,-1.313264
-0.910000,-1.286369
-0.900000,-1.260158
-0.890000,-1.234600
-0.880000,-1.209664
-0.870000,-1.185325
-0.860000,-1.161556
-0.850000,-1.138333
-0.840000,-1.115632
-0.830000,-1.093433
-0.820000,-1.071714
-0.810000,-1.050455
-0.800000,-1.029639
-0.790000,-1.009246
-0.780000,-0.989262
-0.770000,-0.969668
-0.760000,-0.950452
-0.750000,-0.931596
-0.740000,-0.913090
-0.730000,-0.894918
-0.720000,-0.877068
-0.710000,-0.859529
-0.700000,-0.842288
-0.690000,-0.825336
-0.680000,-0.808662
-0.670000,-0.792254
-0.660000,-0.776105
-0.650000,-0.760205
-0.640000,-0.744544
-0.630000,-0.729115
-0.620000,-0.713909
-0.610000,-0.698919
-0.600000,-0.684137
-0.590000,-0.669556
-0.580000,-0.655168
-0.570000,-0.640969
-0.560000,-0.626950
-0.550000,-0.613105
-0.540000,-0.599430
-0.530000,-0.585917
-0.520000,-0.572562
-0.510000,-0.559359
-0.500000,-0.546302
-0.490000,-0.533388
-0.480000,-0.520611
-0.470000,-0.507966
-0.460000,-0.495449
-0.450000,-0.483055
-0.440000,-0.470781
-0.430000,-0.458621
-0.420000,-0.446573
-0.410000,-0.434631
-0.400000,-0.422793
-0.390000,-0.411055
-0.380000,-0.399413
-0.370000,-0.387863
-0.360000,-0.376403
-0.350000,-0.365029
-0.340000,-0.353737
-0.330000,-0.342525
-0.320000,-0.331389
-0.310000,-0.320327
-0.300000,-0.309336
-0.290000,-0.298413
-0.280000,-0.287554
-0.270000,-0.276758
-0.260000,-0.266021
-0.250000,-0.255342
-0.240000,-0.244717
-0.230000,-0.234143
-0.220000,-0.223619
-0.210000,-0.213143
-0.200000,-0.202710
-0.190000,-0.192320
-0.180000,-0.181969
-0.170000,-0.171657
-0.160000,-0.161380
-0.150000,-0.151135
-0.140000,-0.140922
-0.130000,-0.130737
-0.120000,-0.120580
-0.110000,-0.110446
-0.100000,-0.100335
-0.090000,-0.090244
-0.080000,-0.080172
-0.070000,-0.070114
-0.060000,-0.060072
-0.050000,-0.050042
-0.040000,-0.040021
-0.030000,-0.030010
-0.020000,-0.020001
-0.010000,-0.010000
0.000000,0.000000
0.010000,0.010000
0.020000,0.020001
0.030000,0.030010
0.040000,0.040021
0.050000,0.050042
0.060000,0.060072
0.070000,0.070114
0.080000,0.080172
0.090000,0.090244
0.100000,0.100335
0.110000,0.110446
0.120000,0.120580
0.130000,0.130737
0.140000,0.140922
0.150000,0.151135
0.160000,0.161380
0.170000,0.171657
0.180000,0.181969
0.190000,0.192320
0.200000,0.202710
0.210000,0.213143
0.220000,0.223619
0.230000,0.234143
0.240000,0.244717
0.250000,0.255342
0.260000,0.266021
0.270000,0.276758
0.280000,0.287554
0.290000,0.298413
0.300000,0.309336
0.310000,0.320327
0.320000,0.331389
0.330000,0.342525
0.340000,0.353737
0.350000,0.365029
0.360000,0.376403
0.370000,0.387863
0.380000,0.399413
0.390000,0.411055
0.400000,0.422793
0.410000,0.434631
0.420000,0.446573
0.430000,0.458621
0.440000,0.470781
0.450000,0.483055
0.460000,0.495449
0.470000,0.507966
0.480000,0.520611
0.490000,0.533388
0.500000,0.546302
0.510000,0.559359
0.520000,0.572562
0.530000,0.585917
0.540000,0.599430
0.550000,0.613105
0.560000,0.626950
0.570000,0.640969
0.580000,0.655168
0.590000,0.669556
0.600000,0.684137
0.610000,0.698919
0.620000,0.713909
0.630000,0.729115
0.640000,0.744544
0.650000,0.760205
0.660000,0.776105
0.670000,0.792254
0.680000,0.808662
0.690000,0.825336
0.700000,0.842288
0.710000,0.859529
0.720000,0.877068
0.730000,0.894918
0.740000,0.913090
0.750000,0.931596
0.760000,0.950452
0.770000,0.969668
0.780000,0.989262
0.790000,1.009246
0.800000,1.029639
0.810000,1.050455
0.820000,1.071714
0.830000,1.093433
0.840000,1.115632
0.850000,1.138333
0.860000,1.161556
0.870000,1.185325
0.880000,1.209664
0.890000,1.234600
0.900000,1.260158
0.910000,1.286369
0.920000,1.313264
0.930000,1.340874
0.940000,1.369235
0.950000,1.398383
0.960000,1.428358
0.970000,1.459201
0.980000,1.490958
0.990000,1.523677
1.000000,1.557408
